who,outfit,rain,frame,asset,index,sx,sy,sw,sh,dx,dy,dw,dh,view_w,view_h,scale_x,scale_y,opaque_width,opaque_height,opaque_pixels,clipped_pixels,clip_percent,anisotropic
husband,default,False,10,husband-motion,10,529,731,227,256,2.4226392961876826,26.266041055718475,67.15472140762463,75.73395894428153,72,104,0.2958357771260997,0.2958357771260997,67.15472140762463,75.73395894428153,33785,0,0.0,False
husband,default,False,11,husband-motion,11,822,686,170,307,10.853958944281526,11.178416422287384,50.29208211143695,90.82158357771262,72,104,0.2958357771260997,0.2958357771260997,50.29208211143695,90.82158357771262,30571,0,0.0,False
husband,default,False,12,husband-social,0,50,15,157,321,12.776891495601173,7.036715542521989,46.44621700879765,94.96328445747801,72,104,0.2958357771260997,0.2958357771260997,46.44621700879765,94.96328445747801,33776,0,0.0,False
husband,default,False,13,husband-social,1,288,10,206,326,5.528914956011729,5.5575366568915,60.94217008797654,96.4424633431085,72,104,0.2958357771260997,0.2958357771260997,60.94217008797654,96.4424633431085,37446,0,0.0,False
husband,default,False,14,husband-social,2,527,14,223,322,3.014310850439884,6.7408797653958885,65.97137829912023,95.25912023460411,72,104,0.2958357771260997,0.2958357771260997,65.97137829912023,95.25912023460411,33947,0,0.0,False
husband,default,False,15,husband-social,3,823,13,152,323,13.516480938416422,6.445043988269788,44.96703812316716,95.55495601173021,72,104,0.2958357771260997,0.2958357771260997,44.96703812316716,95.55495601173021,31120,0,0.0,False
husband,default,False,16,husband-social,4,23,355,221,321,3.3101466275659845,7.036715542521989,65.37970674486803,94.96328445747801,72,104,0.2958357771260997,0.2958357771260997,65.37970674486803,94.96328445747801,34789,0,0.0,False
husband,default,False,17,husband-social,5,273,352,233,325,1.5351319648093806,5.853372434017601,68.92973607038124,96.1466275659824,72,104,0.2958357771260997,0.2958357771260997,68.92973607038124,96.1466275659824,35466,0,0.0,False
husband,default,False,18,husband-social,6,536,357,225,320,2.7184750733137832,7.33255131964809,66.56304985337243,94.66744868035191,72,104,0.2958357771260997,0.2958357771260997,66.56304985337243,94.66744868035191,35019,0,0.0,False
husband,default,False,19,husband-social,7,817,352,158,325,12.628973607038123,5.853372434017601,46.742052785923754,96.1466275659824,72,104,0.2958357771260997,0.2958357771260997,46.742052785923754,96.1466275659824,32694,0,0.0,False
husband,default,False,20,husband-social,8,18,697,235,313,1.239296187683287,9.403401759530794,69.52140762463343,92.5965982404692,72,104,0.2958357771260997,0.2958357771260997,69.52140762463343,92.5965982404692,36240,0,0.0,False
husband,default,False,21,husband-social,9,273,699,228,309,2.2747214076246323,10.586744868035197,67.45055718475074,91.4132551319648,72,104,0.2958357771260997,0.2958357771260997,67.45055718475074,91.4132551319648,35127,0,0.0,False
husband,default,False,22,husband-social,10,558,691,161,319,12.185219941348972,7.6283870967741905,47.629560117302056,94.37161290322581,72,104,0.2958357771260997,0.2958357771260997,47.629560117302056,94.37161290322581,31578,0,0.0,False
husband,default,False,23,husband-social,11,795,691,202,318,6.12058651026393,7.924222873900291,59.75882697947214,94.07577712609971,72,104,0.2958357771260997,0.2958357771260997,59.75882697947214,94.07577712609971,35384,0,0.0,False
husband,default,False,24,husband-personal,0,47,14,175,327,10.114369501466275,5.2617008797653995,51.77126099706745,96.7382991202346,72,104,0.2958357771260997,0.2958357771260997,51.77126099706745,96.7382991202346,36172,0,0.0,False
husband,default,False,25,husband-personal,1,303,14,169,327,11.001876832844573,5.2617008797653995,49.996246334310854,96.7382991202346,72,104,0.2958357771260997,0.2958357771260997,49.996246334310854,96.7382991202346,35750,0,0.0,False
husband,default,False,26,husband-personal,2,559,13,153,328,13.368563049853371,4.965865102639299,45.26287390029326,97.0341348973607,72,104,0.2958357771260997,0.2958357771260997,45.26287390029326,97.0341348973607,34667,0,0.0,False
husband,default,False,27,husband-personal,3,814,14,156,327,12.924809384164224,5.2617008797653995,46.15038123167155,96.7382991202346,72,104,0.2958357771260997,0.2958357771260997,46.15038123167155,96.7382991202346,34159,0,0.0,False
husband,default,False,28,husband-personal,4,40,341,176,341,9.966451612903224,1.1200000000000045,52.06709677419355,100.88,72,104,0.2958357771260997,0.2958357771260997,52.06709677419355,100.88,34540,0,0.0,False
